phase,epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
feature_extraction,0,0.2823511064052582,0.6708921790122986,1.9724171161651611,0.34541019797325134,0.7234290242195129,1.7452211380004883,0.0010000000474974513
feature_extraction,1,0.3349401354789734,0.7235422730445862,1.7549939155578613,0.35464203357696533,0.7365894317626953,1.7201710939407349,0.0010000000474974513
feature_extraction,2,0.3341004550457001,0.7251867055892944,1.746939778327942,0.3893049955368042,0.7717814445495605,1.5940698385238647,0.0010000000474974513
feature_extraction,3,0.3404447138309479,0.7308662533760071,1.7267825603485107,0.39069849252700806,0.7699271440505981,1.613737940788269,0.0010000000474974513
feature_extraction,4,0.33860984444618225,0.7311346530914307,1.7333545684814453,0.36735761165618896,0.7495081424713135,1.6744732856750488,0.0010000000474974513
feature_extraction,5,0.3518892824649811,0.7394983768463135,1.6739321947097778,0.39278870820999146,0.7677664160728455,1.6063799858093262,0.0005000000237487257
feature_extraction,6,0.35478153824806213,0.7439804673194885,1.6641789674758911,0.4055042564868927,0.7786529660224915,1.5715112686157227,0.0005000000237487257
feature_extraction,7,0.3582957684993744,0.7478519678115845,1.6379506587982178,0.4021947383880615,0.78010094165802,1.5687599182128906,0.0005000000237487257
feature_extraction,8,0.3615300953388214,0.7488855719566345,1.6407655477523804,0.3793764114379883,0.7528140544891357,1.646650791168213,0.0005000000237487257
feature_extraction,9,0.36149898171424866,0.7497919797897339,1.6239756345748901,0.3974917232990265,0.7717030644416809,1.5932761430740356,0.0005000000237487257
feature_extraction,10,0.3627118766307831,0.750714898109436,1.6263048648834229,0.40620100498199463,0.7845370173454285,1.5487267971038818,0.0002500000118743628
feature_extraction,11,0.37085989117622375,0.7571521997451782,1.6072341203689575,0.39905938506126404,0.7736002206802368,1.5812801122665405,0.0002500000118743628
feature_extraction,12,0.3692116439342499,0.7566168904304504,1.6077805757522583,0.3941822052001953,0.7760187387466431,1.5728254318237305,0.0002500000118743628
feature_extraction,13,0.3692116439342499,0.7586442232131958,1.5957216024398804,0.4027172923088074,0.7766521573066711,1.570225715637207,0.0001250000059371814
feature_extraction,14,0.3797232210636139,0.7620352506637573,1.5815165042877197,0.4025430977344513,0.7800848484039307,1.560628890991211,0.0001250000059371814
fine_tuning,15,0.37726637721061707,0.7639697790145874,1.5870965719223022,0.42118099331855774,0.7888822555541992,1.5270098447799683,9.999999747378752e-06
fine_tuning,16,0.40087077021598816,0.7804381251335144,1.5227866172790527,0.4387737214565277,0.8035426139831543,1.482619047164917,9.999999747378752e-06
fine_tuning,17,0.4167625606060028,0.7945070266723633,1.4792560338974,0.4500958025455475,0.817665696144104,1.4349302053451538,9.999999747378752e-06
fine_tuning,18,0.42556366324424744,0.8018877506256104,1.449059247970581,0.4612436890602112,0.8234986662864685,1.4135714769363403,9.999999747378752e-06
fine_tuning,19,0.44049137830734253,0.8099016547203064,1.4204151630401611,0.4833652675151825,0.8365810513496399,1.367201566696167,9.999999747378752e-06
fine_tuning,20,0.45417508482933044,0.8188261389732361,1.3866227865219116,0.4812750518321991,0.8336971998214722,1.3842943906784058,9.999999747378752e-06
fine_tuning,21,0.45818689465522766,0.8240764737129211,1.3617240190505981,0.47152063250541687,0.830273449420929,1.4055334329605103,9.999999747378752e-06
fine_tuning,22,0.47382989525794983,0.8324739336967468,1.325018048286438,0.4892875850200653,0.8410694003105164,1.3524458408355713,4.999999873689376e-06
fine_tuning,23,0.47457626461982727,0.8354882001876831,1.3131709098815918,0.49381640553474426,0.8416054248809814,1.3532649278640747,4.999999873689376e-06
fine_tuning,24,0.4835017919540405,0.8384692072868347,1.3054087162017822,0.499564528465271,0.846919596195221,1.3297432661056519,4.999999873689376e-06
fine_tuning,25,0.48200902342796326,0.8400554656982422,1.2906725406646729,0.504964292049408,0.8516504168510437,1.3108880519866943,4.999999873689376e-06
fine_tuning,26,0.4832840859889984,0.8407027125358582,1.289149284362793,0.5063577890396118,0.8510815501213074,1.3107637166976929,4.999999873689376e-06
fine_tuning,27,0.4912766218185425,0.844025194644928,1.2759910821914673,0.4997387230396271,0.8469338417053223,1.3319796323776245,4.999999873689376e-06
fine_tuning,28,0.49625253677368164,0.8469418287277222,1.259699821472168,0.4934680461883545,0.8472877144813538,1.3336668014526367,4.999999873689376e-06
fine_tuning,29,0.5006064176559448,0.8509210348129272,1.2401076555252075,0.5051384568214417,0.8508990406990051,1.3174020051956177,2.499999936844688e-06
fine_tuning,30,0.4986782670021057,0.8506853580474854,1.2388927936553955,0.5084480047225952,0.8537445068359375,1.3067033290863037,2.499999936844688e-06
fine_tuning,31,0.5048981308937073,0.8520056009292603,1.2330609560012817,0.5101898908615112,0.8537173867225647,1.3053475618362427,2.499999936844688e-06
fine_tuning,32,0.5056756138801575,0.852289080619812,1.238843321800232,0.5122801065444946,0.8556098341941833,1.2970324754714966,2.499999936844688e-06
fine_tuning,33,0.5066708326339722,0.8532918691635132,1.2252535820007324,0.5154154300689697,0.8570138812065125,1.2882107496261597,2.499999936844688e-06
fine_tuning,34,0.5103405117988586,0.8557063937187195,1.221560001373291,0.5124542713165283,0.8571757078170776,1.2880839109420776,2.499999936844688e-06
